ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1767938833.719210,C7sBS4OgRLRyBP4g7,192.168.1.40,60198,192.168.1.39,22,tcp,,0.414501,0,33,SF,T,T,0,ShAFadfRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR,231,9308,4,249,,6
1767938779.521598,Ccyg1C4aIy9cWdhGUb,192.168.1.1,46457,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938835.116333,ClORPS1vyrMdi7PXn2,192.168.1.40,37826,192.168.1.39,80,tcp,,0.000075,0,0,REJ,T,T,0,Sr,1,60,1,40,,6
1767938780.756624,C6lRkY1qLLkriIj6C4,192.168.1.1,60958,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4198,0,0,,17
1767938836.139353,CRVEj12e3JCWd3mEui,192.168.1.40,48924,192.168.1.39,443,tcp,,0.000087,0,0,REJ,T,T,0,Sr,1,60,1,40,,6
1767938781.774414,CrqAnY10Pk5Qnvp4M3,192.168.1.1,37388,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938782.907021,C90STRDLXoA214JS6,192.168.1.1,55424,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4198,0,0,,17
1767938783.924801,CsVuVq16os4BNAcvLb,192.168.1.1,50882,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938785.157461,CKaBChOqqIQ89zMJ4,192.168.1.1,39230,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4196,0,0,,17
1767938835.908582,CR7lin4sr9acJVKSl4,192.168.1.34,5353,224.0.0.251,5353,udp,dns,,,,S0,T,T,0,D,1,965,0,0,,17
1767938835.908732,ChOQijsdDSBZ1Iyc2,fe80::7bb:73d7:8a01:76e1,5353,ff02::fb,5353,udp,dns,,,,S0,T,F,0,D,1,985,0,0,,17
1767938786.276821,CimyaB30ng8c8pCzxj,192.168.1.1,58324,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938787.309186,CnHPXI1cp3nQi1ZZxh,192.168.1.1,43573,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4201,0,0,,17
1767938788.327821,Cdsl853yJWUAN5fTZc,192.168.1.1,54059,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938789.458373,C6gqn12aUYoxJbqYE3,192.168.1.1,56016,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4200,0,0,,17
1767938766.353030,C7QWJe4qhLAw3VGBYe,192.168.1.41,59654,192.168.1.39,8384,tcp,http,78.465824,1589,4109,SF,T,T,0,ShADadfF,13,2273,13,4793,,6
1767938826.442901,CVcZyQ22dphYxT3CRh,192.168.1.41,40732,192.168.1.39,8384,tcp,http,18.376277,796,929,SF,T,T,0,ShADadfF,6,1116,5,1197,,6
1767938826.442687,C20YTb17DOtwhIqITf,192.168.1.41,40718,192.168.1.39,8384,tcp,http,18.376547,792,454,SF,T,T,0,ShADadfF,6,1112,5,722,,6
1767938826.442874,CEmRfX1OftRLdw7nZ1,192.168.1.41,40728,192.168.1.39,8384,tcp,http,18.376403,798,1355,SF,T,T,0,ShADadfF,6,1118,5,1623,,6
1767938790.478434,CGEGeQ2tSzIGrLaRg,192.168.1.1,49883,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938791.212444,CvQzeC13EhJgHE9MFj,192.168.1.39,0,224.0.0.251,0,unknown_transport,,,,,OTH,T,T,0,,1,32,0,0,,2
1767938791.297535,CIu1xy4TqnGC8XC96e,fe80::6420:e3ff:fe93:5ffe,130,ff02::1,131,icmp,,,,,OTH,T,F,0,,1,76,0,0,,58
1767938788.363131,CJdOP53uLGAOC3gtVa,192.168.1.41,37425,239.255.255.250,1900,udp,,3.003521,692,0,S0,T,T,0,D,4,804,0,0,,17
1767938791.610072,C7nCY94dBMos3hZomi,192.168.1.1,45523,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4198,0,0,,17
